SITE_NO,BU,Name,Region
22354,BIGC MINI,"BCM ซ.โรมัน-เปรโต,นครปฐม",01. BKK1
21312,BIGC MINI,BCM วัดโพธิ์ทอง,01. BKK1
21826,BIGC MINI,"BCM หมู่บ้านสรัญธร,กรุงเทพมหานคร",01. BKK1
21295,BIGC MINI,BCM สี่แยกทศกัณฑ์,01. BKK1
22256,BIGC MINI,"BCM เพชรเกษม 63,กรุงเทพฯ",01. BKK1
21314,BIGC MINI,BCM เอื้อบางขุนเทียน,01. BKK1
21439,BIGC MINI,BCM หมู่บ้านหรรษา,01. BKK1
21236,BIGC MINI,BCM เอื้อฯ หนองแขม,01. BKK1
21358,BIGC MINI,BCM BCP เพชรเกษม 92,01. BKK1
21551,BIGC MINI,BCM พุทธบูชา ซอย 36,01. BKK1
21140,BIGC MINI,BCM BCP บรมฯ กม.15,01. BKK1
22180,BIGC MINI,"BCM โกลเด้นเพลส บางใหญ่,นนทบุรี",01. BKK1
21924,BIGC MINI,"BCM เอื้ออาทรวัดกู้,นนทบุรี",01. BKK1
22639,BIGC MINI,BCM ไลโอ สุขสวัสดิ์-ประชาอุทิศ 90,01. BKK1
21642,BIGC MINI,BCM สุขสวัสดิ์ 84 ซอยคู่สร้าง,01. BKK1
21030,BIGC MINI,BCM ซอยหนองใหญ่,01. BKK1
41022,PURE,PURE อ้อมใหญ่,01. BKK1
41021,PURE,PURE นครปฐม,01. BKK1
41032,PURE,PURE ดาวคะนอง,01. BKK1
41006,PURE,PURE ธนบุรี-ปากท่อ,01. BKK1
41135,PURE,Pure สาขาบางปะกอก,01. BKK1
41059,PURE,PURE ราษฎร์บูรณะ,01. BKK1
41144,PURE,Pure เพชรเกษม 2,01. BKK1
41136,PURE,Pure กัลปพฤกษ์,01. BKK1
41033,PURE,PURE แจ้งวัฒนะ,01. BKK1
41142,PURE,Pure บางบอน,01. BKK1
41047,PURE,PURE ประชาอุทิศ,01. BKK1
41145,PURE,Pure อิสรภาพ,01. BKK1
41166,PURE,Pure เพชรเกษม,01. BKK1
41004,PURE,PURE รัตนาธิเบศร์,01. BKK1
41055,PURE,PURE ราชพฤกษ์,01. BKK1
41184,PURE,PURE ไทรน้อย,01. BKK1
41186,PURE,PURE ท่าอิฐ,01. BKK1
41003,PURE,PURE สุขสวัสดิ์,01. BKK1
41013,PURE,PURE ติวานนท์,01. BKK1
41102,PURE,PURE รัตนาธิเบศร์ 2,01. BKK1
41153,PURE,Pure สาขาบางใหญ่,01. BKK1
41056,PURE,Pure แจ้งวัฒนะ2,01. BKK1
41175,PURE,Pure ปทุมธานี,01. BKK1
41191,PURE,PURE พันธุ์ทิพย์ งามวงศ์วาน,01. BKK1
41178,PURE,PURE เกตเวย์บางโพบางซื่อ,01. BKK1
22092,BIGC MINI,"BCM อินทามระ 59,กรุงเทพฯ",02. BKK2
22104,BIGC MINI,"BCM ซอยนาคนิวาส 37,กรุงเทพฯ",02. BKK2
21254,BIGC MINI,BCM รามคำแหง 53,02. BKK2
21057,BIGC MINI,BCM วัชรพล,02. BKK2
22671,BIGC MINI,BCM สุทธิสาร กรุงเทพมหานคร,02. BKK2
22183,BIGC MINI,BCM ม.เทคโนโลยีราชมงคล กรุงเทพ,02. BKK2
22514,BIGC MINI,"BCM ศูนย์ฯสิริกิติ์,กรุงเทพฯ",02. BKK2
21051,BIGC MINI,BCM วัดนาวง,02. BKK2
21518,BIGC MINI,BCM กาญจนาภิเษก 39,02. BKK2
21059,BIGC MINI,BCM เอื้ออาทรบางเขน,02. BKK2
21317,BIGC MINI,BCM คูขวาง 6,02. BKK2
22176,BIGC MINI,"BCM เคหะธัญบุรี,ปทุมธานี",02. BKK2
21033,BIGC MINI,BCM รัตนโกสินทร์,02. BKK2
41119,PURE,PURE สาขาลาดพร้าว 2,02. BKK2
41167,PURE,Pure หัวหมาก,02. BKK2
41038,PURE,PURE บางนา,02. BKK2
41046,PURE,PURE สวนหลวง,02. BKK2
41146,PURE,Pure อ่อนนุช,02. BKK2
41182,PURE,PURE สามย่านมิตรทาวน์,02. BKK2
41198,PURE,PURE เอเชียทีค,02. BKK2
41194,PURE,Pure รัชดาภิเษก2,02. BKK2
41039,PURE,PURE ดอนเมือง,02. BKK2
41141,PURE,Pure ร่มเกล้า,02. BKK2
